year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1980,Annual,1110,Area,0.02,0.08,0.24,0.02,4.07
1980,Annual,1111,Area,0.01,0.03,0.07,0.01,1.24
1980,Annual,1112,Area,0.01,0.03,0.07,0.01,1.26
1980,Annual,1115,Area,0.081,0.16,1.1,0.03,1.58
1980,Annual,1116,Area,0,0.04,0.42,0.010643,0.3
1980,Annual,1117,Area,0,1.28,3.6,0.057802,4.1
1980,Annual,1118,Area,0,0.02,0.1,0.001426,0.09
1980,Annual,1119,Area,0.019,0.17,0.52,0.03,0.85
1980,Annual,1120,Area,0,0.03,0.07,0.00193,0.088
1980,Annual,1121,Area,0,0.12,0.09,0.003292,0.23
1980,Annual,1122,Area,0,0.01,0.07,0.000319,0.06
1980,Annual,1123,Area,0.02,0.07,0.46,0.03,0.47
1980,Annual,1124,Area,0,0.03,0.09,0.002051,0.07
1980,Annual,1125,Area,0,0.1,0.2,0.007686,0.22
1980,Annual,1126,Area,0.00007,0.01,0.01,0.000405,0.01
1980,Annual,1127,Area,0,0.23,0.41,0.002614,0.57
1980,Annual,1128,Area,0,0.2,0.19,0.011051,0.3
1980,Annual,1129,Area,0,0.02,0.06,0.00127,0.08
1980,Annual,1130,Area,0,0.07,0.13,0.010038,0.41
1980,Annual,1131,Area,0,0.01,0.001,0.000339,0.01
1980,Annual,1132,Area,0,0.05,0.02,0.000778,0.07
1980,Annual,1158,Area,0,55.943604,0,0,0
1980,Annual,1190,Area,0,0.657455,0,0,0
1980,Annual,1191,Area,0,0.405915,0,0,0
1980,Annual,1192,Area,0,0.038625,0,0,0
1980,Annual,1193,Area,0,0.303787,0,0,0
1980,Annual,1194,Area,0.059915,0.080794,1.259373,0.442668,0.2667
1980,Annual,1195,Area,0.042042,0.058404,0.654921,0.310617,0.164899
1980,Annual,1196,Area,0.008104,0.010231,0.159357,0.059876,0.036006
1980,Annual,1241,Area,0,6.609077,0,0,0
1980,Annual,1245,Area,0,6.748777,0,0,0
1980,Annual,1275,Area,0,1.74631,0,0,0
1980,Annual,1277,Area,0,0.728495,0,0,0
1980,Annual,1279,Area,0,0.382084,0,0,0
1980,Annual,1281,Area,0,0.05971,0,0,0
1980,Annual,1283,Area,0,0.38556,0,0,0
1980,Annual,1285,Area,0,0.146839,0,0,0
1980,Annual,1434,Area,0,15.139465,0,0,0
1980,Annual,1435,Area,1.752849,0,0,0,0
1980,Annual,1440,Area,0,0.240667,0,0,0
1980,Annual,1441,Area,0,0.452786,0,0,0
1980,Annual,1442,Area,0,0.059037,0,0,0
1980,Annual,1443,Area,0,0.216576,0,0,0
1980,Annual,1444,Area,0,0.3915,0,0,0
1980,Annual,1445,Area,0,2.073503,0,0,0
1980,Annual,1446,Area,0,0.098485,0,0,0
1980,Annual,1447,Area,0,0.317657,0,0,0
1980,Annual,1448,Area,0,0.479499,0,0,0
1980,Annual,1449,Area,0,0.037292,0,0,0
1980,Annual,1450,Area,0,0.045155,0,0,0
1980,Annual,1451,Area,0,0.051001,0,0,0
1980,Annual,1452,Area,0,0.055481,0,0,0
1980,Annual,1453,Area,0,0.09981,0,0,0
1980,Annual,1454,Area,0,0.051093,0,0,0
1980,Annual,1455,Area,0,0.00812,0,0,0
1980,Annual,1456,Area,0,0.010938,0,0,0
1980,Annual,1457,Area,0,0.001072,0,0,0
1980,Annual,1458,Area,0,0.186627,0,0,0
1980,Annual,1459,Area,0,0.043508,0,0,0
1980,Annual,1460,Area,0,0.121456,0,0,0
1980,Annual,1461,Area,0,0.366418,0,0,0
1980,Annual,1462,Area,0,0.215847,0,0,0
1980,Annual,1463,Area,0,0.010287,0,0,0
1980,Annual,1464,Area,0,0.387927,0,0,0
1980,Annual,1465,Area,0,0.043935,0,0,0
1980,Annual,1466,Area,0,0.091507,0,0,0
1980,Annual,1467,Area,0,0.015652,0,0,0
1980,Annual,1468,Area,0,0.015646,0,0,0
1980,Annual,1469,Area,0,0.141443,0,0,0
1980,Annual,1470,Area,0,0.004716,0,0,0
1980,Annual,1471,Area,0,0.279262,0,0,0
1980,Annual,1472,Area,0,0.015642,0,0,0
1980,Annual,1473,Area,0,0.623705,0,0,0
1980,Annual,1474,Area,0,0.144038,0,0,0
1980,Annual,1475,Area,0,0.093451,0,0,0
1980,Annual,1476,Area,0,0.007274,0,0,0
1980,Annual,1477,Area,0,0.019073,0,0,0
1980,Annual,1478,Area,0,0.004068,0,0,0
1980,Annual,1479,Area,0,2.061304,0,0,0
1980,Annual,1480,Area,0,1.537742,0,0,0
1980,Annual,1481,Area,0,0.639921,0,0,0
1980,Annual,1482,Area,0,0.027227,0,0,0
1980,Annual,1483,Area,0,0.116819,0,0,0
1980,Annual,1484,Area,0,0.177891,0,0,0
1980,Annual,1485,Area,0,0.358808,0,0,0
1980,Annual,1486,Area,0,0.113154,0,0,0
1980,Annual,1487,Area,0,0.006004,0,0,0
1980,Annual,1488,Area,0,4.212532,0,0,0
1980,Annual,1489,Area,0,0.031495,0,0,0
1980,Annual,1490,Area,0,2.357768,0,0,0
1980,Annual,1491,Area,0,3.022596,0,0,0
1980,Annual,1492,Area,0,0.126585,0,0,0
1980,Annual,1493,Area,0,0.062996,0,0,0
1980,Annual,1494,Area,0,1.05812,0,0,0
1980,Annual,1495,Area,0,0.015646,0,0,0
1980,Annual,1496,Area,0,0.008145,0,0,0
1980,Annual,1497,Area,0,0.63783,0,0,0
1980,Annual,1498,Area,0,0.019075,0,0,0
1980,Annual,1499,Area,0,0.069259,0,0,0
1980,Annual,1500,Area,0,0.818198,0,0,0
1980,Annual,1501,Area,0,0.101819,0,0,0
1980,Annual,1502,Area,0,0.300296,0,0,0
1980,Annual,1503,Area,0,1.185494,0,0,0
1980,Annual,1504,Area,0,2.128216,0,0,0
1980,Annual,1505,Area,0,0.08204,0,0,0
1980,Annual,1506,Area,0,0.317705,0,0,0
1980,Annual,1507,Area,0,0.06767,0,0,0
1980,Annual,1508,Area,0,0.384133,0,0,0
1980,Annual,1509,Area,0,0.010931,0,0,0
1980,Annual,1510,Area,0,0.07137,0,0,0
1980,Annual,1511,Area,0,0.106091,0,0,0
1980,Annual,1512,Area,0,0.007716,0,0,0
1980,Annual,1513,Area,0,0.016282,0,0,0
1980,Annual,1514,Area,0,0.096661,0,0,0
1980,Annual,1515,Area,0,0.130203,0,0,0
1980,Annual,1516,Area,0,0.633114,0,0,0
1980,Annual,1517,Area,0,0.037347,0,0,0
1980,Annual,1518,Area,0,2.091915,0,0,0
1980,Annual,1519,Area,0,0.042872,0,0,0
1980,Annual,1520,Area,0,0.344419,0,0,0
1980,Annual,1521,Area,0,0.055121,0,0,0
1980,Annual,1522,Area,0,0.762343,0,0,0
1980,Annual,1523,Area,0,0.074789,0,0,0
1980,Annual,1524,Area,0,0.087906,0,0,0
1980,Annual,1525,Area,0,0.008375,0,0,0
1980,Annual,1526,Area,0,0.022719,0,0,0
1980,Annual,1527,Area,0,0.080477,0,0,0
1980,Annual,1528,Area,0,0.062312,0,0,0
1980,Annual,1529,Area,0,0.212266,0,0,0
1980,Annual,1530,Area,0,0.034715,0,0,0
1980,Annual,1531,Area,0,0.231525,0,0,0
1980,Annual,1532,Area,0,0.12057,0,0,0
1980,Annual,1533,Area,0,0.388862,0,0,0
1980,Annual,1534,Area,0,0.280908,0,0,0
1980,Annual,1535,Area,0,0.014859,0,0,0
1980,Annual,1536,Area,0,0.113789,0,0,0
1980,Annual,1537,Area,0,0.394834,0,0,0
1980,Annual,1538,Area,0,0.060484,0,0,0
1980,Annual,1539,Area,0,0.160726,0,0,0
1980,Annual,1540,Area,0,0.782725,0,0,0
1980,Annual,1541,Area,0,0.138106,0,0,0
1980,Annual,1542,Area,0,0.235118,0,0,0
1980,Annual,1543,Area,0,0.103732,0,0,0
1980,Annual,1544,Area,0,0.117765,0,0,0
1980,Annual,1545,Area,0,0.85808,0,0,0
1980,Annual,1546,Area,0,0.005431,0,0,0
1980,Annual,1547,Area,0,0.12599,0,0,0
1980,Annual,1548,Area,0,1.656598,0,0,0
1980,Annual,1549,Area,0,0.749796,0,0,0
1980,Annual,1550,Area,0,0.135342,0,0,0
1980,Annual,1551,Area,0,0.739121,0,0,0
1980,Annual,1552,Area,0,2.702253,0,0,0
1980,Annual,1553,Area,0,0.163471,0,0,0
1980,Annual,1554,Area,0,0.301919,0,0,0
1980,Annual,1555,Area,0,0.328353,0,0,0
1980,Annual,1556,Area,0,0.070298,0,0,0
1980,Annual,1557,Area,0,1.363513,0,0,0
1980,Annual,1558,Area,0,0.060385,0,0,0
1980,Annual,1559,Area,0,7.698635,0,0,0
1980,Annual,1560,Area,0,0.142579,0,0,0
1980,Annual,1561,Area,0,0.047764,0,0,0
1980,Annual,1562,Area,0,0.184443,0,0,0
1980,Annual,1563,Area,0,0.116226,0,0,0
1980,Annual,1564,Area,0,0.016137,0,0,0
1980,Annual,1565,Area,0,0.560881,0,0,0
1980,Annual,1566,Area,0,1.689957,0,0,0
1980,Annual,1567,Area,0,0.086343,0,0,0
1980,Annual,1568,Area,0,0.101799,0,0,0
1980,Annual,1569,Area,0,0.01328,0,0,0
1980,Annual,1570,Area,0,0.085335,0,0,0
1980,Annual,1571,Area,0,0.787215,0,0,0
1980,Annual,1572,Area,0,0.236186,0,0,0
